steps,vanilla-train,vanilla-test,bidirectional-train,bidirectional-test,cnn-lstm-train,cnn-lstm-test,conv-lstm-train,conv-lstm-test
1.1,0.9672921957242163,0.9697209517224881,0.9717608850714708,0.9718888955704961,0.9308658100016498,0.9333798028644382,0.9721079848941296,0.9708833854615196
2.1,0.9691431448923359,0.9718842984533682,0.969738841355777,0.969645303379079,0.9313037352466277,0.9340775162655631,0.9709173543591256,0.9703700167582019
2.2,0.9353912456425716,0.9388344282183567,0.9386548568083216,0.9393674385015366,0.8970727820413135,0.9056898882176037,0.9406615455311949,0.9351526519235642
3.1,0.9680328608933211,0.973134927264367,0.9681298021198093,0.9701370067890833,0.9282193125263768,0.9307229331640438,0.9710024542884914,0.9710920819484421
3.2,0.9305658805570546,0.9372782039185861,0.9385943958650906,0.9398134208632387,0.8964588248606044,0.899485342824579,0.940791963311255,0.9351329575232813
3.3,0.9015927364747742,0.9088295526926955,0.9097128936269558,0.9091179176962197,0.8696101916889216,0.8743929097806608,0.9121560205333034,0.9076880044677165
4.1,0.9685408333268901,0.9703004990122257,0.967577232223203,0.9682968092210047,0.9317305218450432,0.9362040477728986,0.9688496337428186,0.968780792313644
4.2,0.9320349774842502,0.9335810511230004,0.9374494275256408,0.9390887751080361,0.8999453561715318,0.9030657435720362,0.9379004551254586,0.9324804256104409
4.3,0.900044537939008,0.9007120250813068,0.9084062580903299,0.9101996244224111,0.8713165713458861,0.8715891256250392,0.8997861048061788,0.8926825212732611
4.4,0.8711179538556746,0.8771671440859692,0.882414325906224,0.8804482252629896,0.8463952196832778,0.8480174834738983,0.8745508414955905,0.8677951452949239
5.1,0.9675504737242058,0.970481526155982,0.9663513361443168,0.9681148797114696,0.9307670845133365,0.9335676951607677,0.9703572147199764,0.9703890487357173
5.2,0.9348825569706998,0.9393888964587107,0.9369034390124249,0.9390602165155091,0.8990490946433762,0.90266227248244,0.941399377427911,0.9335809957615915
5.3,0.9021962659190255,0.9093539513609776,0.9090731794659066,0.9091394419905026,0.8709824758501703,0.8780335116924073,0.9082672016730158,0.894959843552639
5.4,0.8716472300146398,0.8832480696122,0.8826445512326422,0.8797141998340485,0.8467104656354134,0.8545632629798832,0.8811357867582188,0.8666439479939708
5.5,0.8465451749971402,0.8591404544084406,0.858169095438642,0.8513685054053237,0.8255706435403661,0.8350868489926909,0.858731529231793,0.8457355840981161
6.1,0.9668320084580992,0.9685830825957498,0.9640832370332794,0.9671014726835522,0.9315829021900448,0.9350975482321129,0.9706419824296766,0.9700710077269363
6.2,0.9319756673572079,0.9371197791638088,0.9345955927524607,0.9387482019699742,0.9007255486286502,0.9058128996661823,0.9397603267302146,0.9375863930463018
6.3,0.8992864459980484,0.90601300918101,0.9057127802553069,0.9097369789965597,0.8719670787036313,0.8758416996163749,0.906618077759231,0.9063374455827999
6.4,0.8686640008586632,0.8784919865186873,0.8794062132901057,0.8802480745598994,0.8478244215038752,0.851828472783575,0.8732957057984267,0.8782916112118144
6.5,0.8452693400788085,0.8540540771564111,0.8571790271617784,0.8547234797375454,0.8289276401144928,0.8333243282988492,0.8498952894101609,0.8524304492387376
6.6,0.8249923163393087,0.8348743637151077,0.8355677982857146,0.8313518536379744,0.8119673224597705,0.8181280721307728,0.8285032252240567,0.8289020696227165
