steps,vanilla-train,vanilla-test,bidirectional-train,bidirectional-test,cnn-lstm-train,cnn-lstm-test,conv-lstm-train,conv-lstm-test
1.1,0.9722321371147981,0.960791352698882,0.974604232442052,0.96256529352341,0.936228735080529,0.916035033976614,0.9743824175485782,0.9529124629375951
2.1,0.9720530432972676,0.9625074672812723,0.9727877934432803,0.9626450737641946,0.9382317786172707,0.9185630043593327,0.9749538427071913,0.9577913621270344
2.2,0.9398591262868585,0.9226364232451634,0.9445406253083808,0.925048605135591,0.9083846107620108,0.8794738423086494,0.9484387753452528,0.9198001277489936
3.1,0.9715573248241142,0.9606929614572406,0.9730277865372141,0.961255527283488,0.9371297819643297,0.9162752499673852,0.9733303281816841,0.9577186810249645
3.2,0.9386337938091056,0.922409126633525,0.9447571844117254,0.9247364775785062,0.9070618730582485,0.8854038138653809,0.946345273660384,0.9211401715910622
3.3,0.9101952432500059,0.8886241426015276,0.916974880734083,0.8863559331921262,0.8794475464772941,0.8557042838369451,0.917862146283871,0.8828977443274083
4.1,0.9711516709124426,0.9624713080017526,0.972373359318147,0.9616848316823878,0.935523321433026,0.9171703781864873,0.9733139395021866,0.9580811413363035
4.2,0.9421134244519603,0.9270785145245091,0.943601617123835,0.9257009121129117,0.9046921548405586,0.881262165058986,0.9473335370871392,0.923702644293293
4.3,0.9127309083074783,0.8917890767984835,0.9157239478380546,0.8906992650465333,0.878915749009407,0.852173392853108,0.9202167215525542,0.8885549570582019
4.4,0.8858462535136449,0.85514289044095,0.8895142406688394,0.8515820968726465,0.8545903879523428,0.8222730433420549,0.895128800607731,0.855585937705724
5.1,0.9715637544771765,0.9604681030491526,0.9707934534973182,0.9601750236391737,0.9357540359849386,0.9171328278999693,0.9727949572204817,0.9552493719711743
5.2,0.9428272921451262,0.9253666033099818,0.9422503065105303,0.9259619673660138,0.9069339222389812,0.8835170277521498,0.9451232066193653,0.9163108832294332
5.3,0.9143064973347783,0.8891876870252049,0.9156999484224677,0.8902271771478164,0.8803121989756784,0.8489737097182163,0.9188835414889326,0.8830558943209986
5.4,0.8859985874985011,0.8550966160744341,0.8902006761877606,0.8574519447347388,0.856068406495212,0.8192368642450476,0.8958966716714275,0.848969202766605
5.5,0.8614777794925665,0.8218301897133251,0.864864269047686,0.8285182295350488,0.8366689319090514,0.7968553212833603,0.8730292448624704,0.8193343589624538
6.1,0.969714648175934,0.9597839289459992,0.9719046449909068,0.9610450613546653,0.934268643026226,0.9187387373429188,0.9735767599178348,0.9585873248371639
6.2,0.9408457877725867,0.9238961276550246,0.9435572393216914,0.9270440956435395,0.9054616717784767,0.885692650005312,0.9455161203457846,0.9209463202864716
6.3,0.9123459291912872,0.8906618185879641,0.9157179067148771,0.8917429017167593,0.8790097570954242,0.8502623569140285,0.9185682027936191,0.8851115973529436
6.4,0.8851813852457482,0.8534220940812396,0.8895062020791301,0.8587798796674901,0.8557731599617374,0.8142262171501577,0.8919588389534718,0.8477894034656634
6.5,0.8612388166832479,0.8223585280873471,0.8659103516841653,0.8263986764377382,0.8374092791961231,0.7910644947587356,0.8692571528393017,0.8178611056438938
6.6,0.8407648761530729,0.7966673261379456,0.8443680153836364,0.7963788854889986,0.8198610088832319,0.7699063207427668,0.8484425321079913,0.7938297409742106
