model,1-step-out-rmse,1-step-out-std,2-step-out-rmse,2-step-out-std,3-step-out-rmse,3-step-out-std,4-step-out-rmse,4-step-out-std,5-step-out-rmse,5-step-out-std,6-step-out-rmse,6-step-out-std
vanilla,12.644230359336992,0.29764760155129694,14.059914537933654,0.6900160829796034,15.12684123361439,0.35972314525696686,16.865748612326843,0.4302880378193758,17.394094505109287,0.30154512128136324,18.158063052069384,0.10517585684844949
bidirectional,5.653144044060603,0.1727989820421112,7.980896985807879,0.1333787894075546,10.01485648073494,0.1062102095403654,11.869480425540461,0.2384043464220738,13.51850712811304,0.11547896530859736,15.01054336342627,0.1315810542706274
cnn-lstm,11.974159834819488,0.18621436404103184,13.790502569024147,0.515155088025342,15.29630555814884,0.32187798270473883,16.99295308295981,0.5167485901452687,18.03297121952865,0.1124839646487939,18.80653592382357,0.25202738671085995
conv-lstm,5.648868128643093,0.04556841120631586,7.875259633847179,0.10578150713865223,10.032404381385179,0.06610337411352382,11.82006429465326,0.0634814835885565,13.534736856513735,0.13335750197721505,14.880883450372972,0.09951076250810752
