model,1-step-out-rmse,1-step-out-std,2-step-out-rmse,2-step-out-std,3-step-out-rmse,3-step-out-std,4-step-out-rmse,4-step-out-std,5-step-out-rmse,5-step-out-std,6-step-out-rmse,6-step-out-std
vanilla,19.231638948946355,1.1611073549507387,20.373166693943347,0.9648479855079278,23.01377718617695,1.1812989266235536,24.47941654762915,1.0902282091266522,27.688228191630305,1.781958934005654,28.352009604682586,0.7880682641904763
bidirectional,8.799050594631172,1.022472547513692,11.39847416415913,1.8436256824140718,13.568100134382025,1.932956262972633,15.408024321376365,0.6859891461122541,16.215860153082712,1.0446795358107195,19.284567501992754,0.9967911507399119
cnn-lstm,15.927594136915056,1.1743550905274895,17.94713413081373,1.6008608511574927,20.542115857481285,1.905793318441371,21.284008962818554,1.0027215801598999,23.672004955387397,1.3335547103876009,26.158034421244217,0.9978436945535062
conv-lstm,7.041660264316484,0.44250565330050373,10.391003889783189,0.8829774350247832,11.754288723862617,0.31054128768960787,14.990018583258182,0.6658808040140399,16.525123431540834,0.7443198265196506,19.401333325913278,0.9220454447968188
