model,1-step-out-rmse,1-step-out-std,2-step-out-rmse,2-step-out-std,3-step-out-rmse,3-step-out-std,4-step-out-rmse,4-step-out-std,5-step-out-rmse,5-step-out-std,6-step-out-rmse,6-step-out-std
vanilla,12.753691916247693,0.11705350251651453,13.758231375458985,0.25203101295181807,15.021973490053762,0.3403976761816592,16.186797507971747,0.2175874322789399,17.16997520283011,0.3819075123048919,18.170357282797987,0.19638853620555888
bidirectional,5.585547833853676,0.1897894767109526,8.005010583326193,0.09406079171722846,10.159700193985863,0.27909746635599003,11.850534349846411,0.2479406863259343,13.70394152941598,0.3116464868410388,14.723798940265604,0.1319166850488657
cnn-lstm,12.361742144907717,0.6835951911430042,13.748913867630606,0.40713996296144966,15.320177233541205,0.3186005401621613,16.67370054750524,0.6169869068084215,17.990827845849225,0.30817660001000574,18.859571272352373,0.17309586946989283
conv-lstm,5.588808745533685,0.06479175587317824,7.851620752861949,0.18385524149453214,10.017785400296017,0.20530448837592297,12.111232773880872,0.18564178015079263,13.378165439679918,0.13143128274284496,14.781264274787617,0.13752054982145584
