steps,vanilla-train,vanilla-test,bidirectional-train,bidirectional-test,cnn-lstm-train,cnn-lstm-test,conv-lstm-train,conv-lstm-test
1.1,0.9725723314806485,0.9693542458649824,0.9732819038250556,0.9683475284067568,0.9382792279584575,0.9258158445440829,0.9749896529417075,0.965571302943562
2.1,0.9726240465654625,0.9692077683813666,0.9729809273418801,0.96851445967263,0.9375212024567334,0.9259462715798735,0.9746005380096449,0.9675732946638642
2.2,0.9417451063847541,0.934073764239469,0.9450485823481706,0.9298881353558041,0.9090923044537709,0.8919273187182095,0.9462651804189429,0.9263600755424879
3.1,0.9728323842613912,0.9691868533306602,0.973137639406862,0.9693392669529526,0.9371162225571473,0.9281382340321831,0.9727994920129275,0.9647833311323573
3.2,0.9423088852407118,0.9341605503395072,0.9452795932674903,0.9334171083203794,0.9091963022052673,0.8902963362497593,0.9457465491185123,0.9285469261378914
3.3,0.9152785758101789,0.8952695877598147,0.9174397872340482,0.8938441295192272,0.8831341145694273,0.8573928456076206,0.9182592496766084,0.8913319087979117
4.1,0.9716658218554013,0.9698969055399351,0.9716310339408452,0.9675636108745788,0.9373337201468449,0.9262776758756747,0.9734807147768489,0.9671318868735777
4.2,0.9426805841721968,0.932835252422771,0.9428588045936239,0.9324475500453783,0.9091456360624892,0.8881537396873481,0.9443458889794346,0.9249281111069688
4.3,0.914537346568406,0.8945480105538101,0.9158658355100435,0.8943251424593666,0.8825483398203765,0.8613512585449932,0.9182629793474151,0.8816318092970103
4.4,0.8884987341297943,0.8665532726823565,0.8900729674528587,0.8593864631904495,0.8595928965988964,0.8337565580223893,0.8920898968421579,0.8502785941410542
5.1,0.9722335539983877,0.9691129028299961,0.9722127949942733,0.9686850951661177,0.9374414761640069,0.9274596067020835,0.9727235910707412,0.9667271766098608
5.2,0.9433580682634883,0.9336722939752335,0.9433936889479642,0.930949537754191,0.9095103565397202,0.8915200340937318,0.9450341849832938,0.9271189222229944
5.3,0.9150754570411215,0.8977466275062417,0.9167109267998248,0.8922024866471847,0.8835953224308863,0.8574234127076787,0.9182813602778725,0.8894153414951571
5.4,0.8888619174493143,0.8606389391916714,0.8914309962539717,0.8589278466414378,0.8609236514833698,0.830014008337267,0.8934929713403192,0.8549770370226049
5.5,0.86522757289084,0.830971630349617,0.8675062542163334,0.826460240775295,0.839005537528227,0.8090443575674884,0.8706719121369555,0.8338115423421335
6.1,0.9723375925128002,0.9686717614536384,0.972166768710933,0.9677664737484215,0.9371423990063674,0.9211559474648626,0.9729747099006307,0.9660784391024071
6.2,0.9425558383405153,0.9354377301546477,0.9439473826109878,0.9315694777853984,0.909236532000967,0.8893273713413405,0.9448772123741214,0.9266551423488634
6.3,0.9145702408231023,0.8968821381111601,0.9171500012893765,0.8972540343405022,0.882900968068989,0.8587252447668311,0.9190530085556605,0.8858002364826246
6.4,0.8878554503045915,0.8606198317268438,0.8918897361525262,0.8628191333189082,0.8605326540049189,0.8312797920987383,0.894789459737686,0.849999993620991
6.5,0.8636596756062795,0.8310812773361802,0.8695139247453871,0.8321637207552203,0.8390069630785804,0.8059853731873408,0.8722694302166079,0.8207778699757224
6.6,0.8422856993204231,0.8090893990054869,0.8467869385074471,0.8038957480247186,0.8190708329948083,0.7803340168228929,0.8498362472329011,0.7994035328823459
